,Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
742,Innovate Queensland,,Impact Innovation Group Pty Ltd,Brisbane City,4000.0,,,Provision of Innovation Services Contract No. DITID 18009,Brisbane City,4000.0,Queensland wide,31/07/2018,Brisbane (C),Brisbane,McConnel,1500000.0
743,Innovation Precincts and Places,,Queensland Treasury Corporation,Brisbane City,4000.0,University of Queensland,University of Queensland,Comparative Economic Analysis of Innovation Precincts,St Lucia,4067.0,University of Queensland,26/08/2020,Brisbane (C),Brisbane,McConnel,10000.0
744,Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,The University of Queensland,St Lucia,4067.0,," Shake It Up Australia Foundation 
 Anagenix Ltd (NZ) 
 Microba Pty Ltd 
 Metro North Hospital and Health Service (MNHHS) 
 Wesley Medical Research Ltd - Master 
 The Cure Parkinson's Trust, London UK",The Queensland Drug Repurposing Initiative,St Lucia,4067.0,Gold Coast,6/07/2017,Brisbane (C),Brisbane and Redlands,Maiwar,1260949.0
745,Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,The University of Queensland,St Lucia,4067.0,," Agrisolutions Australia Pty Ltd 
 University Of Southern Queensland - Springfield Campus - Master",Nanotechnology for Next-Generation Termiticides,St Lucia,4067.0,,6/07/2017,Brisbane (C),Brisbane and Redlands,Maiwar,540000.0
746,Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,The University of Queensland,St Lucia,4067.0,," Manildra Group 
 Department of Agriculture and Fisheries 
 James Cook University - Cairns Campus - Master",Environmentally Responsive Biocomposite Fertilisers,St Lucia,4067.0,Cairns  /  Toowoomba,6/07/2017,Brisbane (C),Brisbane and Redlands,Maiwar,400000.0
747,Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,The University of Queensland,Gatton,4343.0,," Dreamworld Ardent Leisure 
 Queensland University of Technology - Kelvin Grove Campus Master",A Living Koala Genome Bank,Gatton,4343.0,Coomera,6/09/2016,Lockyer Valley (R),Darling Downs,Lockyer,577730.0
748,Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,The University of Queensland,South Brisbane,4101.0,," Griffith University - Nathan Campus - Master 
 Cerebral Palsy Alliance 
 Merchant Charitable Foundation 
 Children's Health Queensland Hospital and Health Service - Master 
 CSIRO - Australian e-Health Research Centre - Master",Advancing Cerebral Palsy in Queensland,South Brisbane,4101.0,,6/09/2016,Brisbane (C),Brisbane and Redlands,South Brisbane,1499710.0
749,Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,The University of Queensland,St Lucia,4067.0,," University of Southern Queensland 
 Donovan Family Investments Pty Ltd 
 Mac Farms Pty Ltd 
 L & R Collins Pty Ltd 
 Millwood Holdings Pty Ltd T/A Delroy Orchards 
 Primary Growth Pty Ltd T/AJasper Farms 
 Central Queensland University - Bundaberg Campus - Master 
 Duravo Pty Ltd 
 Andersons Horticulture Pty Ltd",Avocado Tissue-Culture: From Lab-to-Orchard,St Lucia,4067.0,Bundaberg  /  Tully  /  Lakeland  /  Duranbah (NSW)  /  Pemberton (WA)  /  Busselton (WA),6/07/2017,Brisbane (C),Brisbane and Redlands,Maiwar,636000.0
750,Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000.0,," CMTE Development Ltd T/A CRC Mining 
 Caterpillar of Australia Pty Ltd",Automation-Enabling Positioning for Underground Mining,Brisbane City,4000.0,,6/09/2016,Brisbane (C),Brisbane and Redlands,McConnel,428240.0
751,Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000.0,," Department of Agriculture and Fisheries 
 Aust-Grain Exports Pty Ltd",Advancing Tropical Pulses for Queensland,Brisbane City,4000.0,,6/09/2016,Brisbane (C),Brisbane and Redlands,McConnel,750000.0
752,Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000.0,," 3D Industries Pty Ltd 
 Royal Brisbane and Women's Hospital Foundation - Master 
 Translational Research Institute 
 Biofabrication Design Solutions Pty Ltd",Additive Biomanufacturing Technology Platform,Brisbane City,4000.0,,6/09/2016,Brisbane (C),Brisbane and Redlands,McConnel,705000.0
753,Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,Queensland University of Technology,Brisbane City,4000.0,," Bioproton Pty Ltd 
 The University of Queensland - St Lucia Campus - Master 
 Kennedy Creek Lime Pty Ltd 
 Ridley AgriProducts Pty Ltd",Biomanufacturing Advanced Animal Feed Supplements,Brisbane City,4000.0,Mackay  /  Toowoomba  /  Clifton  /  Gatton  /  Townsville,6/09/2016,Brisbane (C),Brisbane and Redlands,McConnel,894704.0
754,Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,Central Queensland University,Norman Gardens,4701.0,," Griffith University - Gold Coast Campus - Master 
 Elevare Energy Pty Ltd",Battery and Microgrid Management Systems,Norman Gardens,4701.0,Enoggera,6/09/2016,Rockhampton (R),Central Queensland,Keppel,318721.0
755,Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,Queensland University of Technology,South Brisbane,4101.0,," Nindooinbah Pastoral Pty Ltd 
 James Cook University - Cairns Campus - Master",Improving Tick-Resistance in Beef Cattle,South Brisbane,4101.0,Beaudesert,6/09/2016,Brisbane (C),Brisbane and Redlands,South Brisbane,225000.0
756,Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,University of Southern Queensland,Darling Heights (Toowoomba),4350.0,," James Cook University - Townsville Campus - Master 
 MBD Energy Limtited",Health Products from Queensland Algae,Darling Heights,4350.0,Townsville,6/09/2016,Toowoomba (R),Darling Downs,Toowoomba South,258977.0
757,Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,James Cook University,Douglas (Townsville),4814.0,," Ceres Tag Pty Ltd 
 CSIRO - Townsville - Master",Smart Ear Tag for Livestock,Douglas,4814.0,Brisbane  /  Charters Towers,6/07/2017,Townsville (C),Townsville,Mundingburra,1500000.0
758,Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,The University of Queensland,St Lucia,4067.0,," Arrow Energy Pty Ltd 
 Santos Limited 
 QGC Pty Limited 
 Queensland University of Technology - Gardens Point Campus - Master 
 Australia Pacific LNG Pty Ltd",Bentonite Abandonment Plugs,St Lucia,4067.0,,6/09/2016,Brisbane (C),Brisbane and Redlands,Maiwar,175000.0
759,Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,The University of Queensland,St Lucia,4067.0,," Alsonex Pty Ltd 
 Australia Huntingtons Disease Association Qld Inc 
 Royal Brisbane and Women's Hospital Foundation - Master 
 The MND and Me Foundation Ltd",New Treatments for Brain Disease,St Lucia,4067.0,,6/07/2017,Brisbane (C),Brisbane and Redlands,Maiwar,960000.0
760,Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,The University of Queensland,St Lucia,4067.0,," University of Technology Sydney 
 Griffith University - Nathan Campus - Master 
 Southern Cross University 
 Queensland Urban Utilities 
 City of Gold Coast 
 Wide Bay Water Corporation 
 South Australian Water Corporation 
 Western Australia Water Corporation",Zero-Energy Sewage Treatment,St Lucia,4067.0,,6/09/2016,Brisbane (C),Brisbane and Redlands,Maiwar,677953.0
761,Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,University of the Sunshine Coast,Sippy Downs,4556.0,," Green Coast Resources Pty Ltd 
 The University of Queensland - St Lucia Campus - Master 
 Wik Timber Holdings Pty Ltd","Indigenous Employment, Forestry Livelihoods Mining",Weipa,4874.0,Weipa,6/07/2017,Sunshine Coast (R),Far North Queensland,Buderim,540000.0
762,Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,The University of Queensland,St Lucia,4067.0,," QMI (Queensland Manufacturing Institute) Solutions 
 Boeing Defence Australia",Translating Incremental-Sheet-Forming to Market,St Lucia,4067.0,,6/09/2016,Brisbane (C),Brisbane and Redlands,Maiwar,1224000.0
763,Innovation Partnerships Grants,AQ Innovation Partnerships 2015-16 Round 1,The University of Queensland,St Lucia,4067.0,," Metro North Health and Hospital Services - Master 
 Children's Health Queensland Hospital and Health Service - Master",Rapid Diagnosis of Pathogenic Infections,St Lucia,4067.0,,6/09/2016,Brisbane (C),Brisbane and Redlands,Maiwar,448281.0
764,Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,QIMR Berghofer Medical Research Institute,Herston,4006.0,," Mater Hospital 
 Queensland University of Technology - Kelvin Grove Campus Master",Commercialise Multi-Modal Imaging and Stimulation,Herston,4006.0,,6/07/2017,Brisbane (C),Brisbane and Redlands,McConnel,1500000.0
765,Innovation Partnerships Grants,AQ Innovation Partnerships 2016-17 Round 2,The University of Queensland,Woolloongabba,4102.0,," QIMR Berghofer Medical Research Institute - Master 
 Sullivan Nicolaides Pathology",Assessment of Precision Melanoma Diagnostics,Woolloongabba,4102.0,,6/07/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,120000.0
766,International Delegations,,Jannah Dryden,Cairns,4870.0,,Startup Catalyst/Advance Queensland,Female Founders,London,,,9/10/2017,Cairns (R),NonQueensland,Mackay,5500.0
767,International Delegations,,Megan Avard,Pimpama,4209.0,,Startup Catalyst/Advance Queensland,Female Founders,London,,,9/10/2017,Gold Coast (C),NonQueensland,Mackay,5500.0
768,International Delegations,,IoT Australasia Pty Ltd ta Water Save,Cairns,4870.0,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Cairns (R),NonQueensland,Mackay,5000.0
769,International Delegations,,Ceres Tag Pty Ltd,Bunya,4055.0,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Moreton Bay (R),NonQueensland,Mackay,5000.0
770,International Delegations,,Sustainable Organic Solutions Pty. Ltd.,Indooroopilly,4068.0,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Brisbane (C),NonQueensland,Mackay,5000.0
771,International Delegations,,Scout Aerial Media and Surveying,Eight Mile Plains,4113.0,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Brisbane (C),NonQueensland,Mackay,5000.0
772,International Delegations,,Startup Catalyst Pty Ltd,Fortitude Valley,4006.0,,"Startup Catalyst, Austrade",Israel Mission,Israel,,,2/05/2017,Brisbane (C),NonQueensland,Mackay,10000.0
773,International Delegations,,V-TOL Aerospace Pty Limited,Rocklea,4106.0,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Brisbane (C),NonQueensland,Mackay,5000.0
774,International Delegations,,MOVUS,Indooroopilly,4068.0,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Brisbane (C),NonQueensland,Mackay,5000.0
775,International Delegations,,Nexgen Plants Pty Ltd,St Lucia,4067.0,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Brisbane (C),NonQueensland,Mackay,5000.0
776,International Delegations,,Anne-Marie Walton,Ipswich,4305.0,,Startup Catalyst/Advance Queensland,Female Founders,London,,,9/10/2017,Ipswich (C),NonQueensland,Mackay,5500.0
777,International Delegations,,Bioproton Pty Ltd,Acacia Ridge,4110.0,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Brisbane (C),NonQueensland,Mackay,5000.0
778,International Delegations,,Hydrox Technologies Pty Ltd,Sumner,4074.0,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Brisbane (C),NonQueensland,Mackay,5000.0
779,International Delegations,,Agrihive,Longreach,4730.0,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Longreach (R),NonQueensland,Mackay,5000.0
780,International Delegations,,Bronwyn Fenech,Rockhampton,4700.0,,Startup Catalyst/Advance Queensland,Female Founders,London,,,9/10/2017,Rockhampton (R),NonQueensland,Mackay,5500.0
781,International Delegations,,BlockGrain,Burleigh Heads,4220.0,,Austrade and Startup Catalyst,Israel Mission,Israel,,,12/07/2017,Gold Coast (C),NonQueensland,Mackay,5000.0
782,International Delegations,,Bronwyn Buksh,Peregian Beach,4573.0,,Startup Catalyst/Advance Queensland,Female Founders,London,,,9/10/2017,Noosa (S),NonQueensland,Mackay,5500.0
783,Johnson & Johnson,Johnson & Johnson,Golden Biotechnology Corporation,New Taipei City 251,,, Queensland University of Technology - Kelvin Grove Campus Master,Antroquinonol: A new chemical entity from Antrodia Camphorata,Kelvin Grove,4059.0,,14/05/2016,NonQueensland,Brisbane and Redlands,NonQueensland,99475.0
784,Johnson & Johnson,Johnson & Johnson,Atomo Diagnostics Pty Ltd,Leichhardt,2040.0,,,Development of a Rapid Troponin lateral flow test strip,Eight Mile Plains,4113.0,,14/05/2016,NonQueensland,Brisbane and Redlands,NonQueensland,100000.0
785,Johnson & Johnson,Johnson & Johnson,Eikonic R & D Pty Ltd,Spring Hill,4000.0,,,Improving Oral Health Through Innovation,Spring Hill,4000.0,,14/05/2016,Brisbane (C),Brisbane and Redlands,McConnel,98452.0
786,Johnson & Johnson,Johnson & Johnson,Queensland University of Technology,Kelvin Grove,4059.0,,,Establishing and operating the J & J Innovation Partnering Office @ QUT,Kelvin Grove,4059.0,,3/12/2015,Brisbane (C),Brisbane and Redlands,McConnel,1083968.0
787,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,ImmersaView Pty Ltd,Banyo,4014.0,,,Develop one-click solution for calibration,Banyo,4014.0,,3/12/2015,Brisbane (C),Brisbane and Redlands,Nudgee,44267.0
788,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,GP Mx Solutions Pty Ltd,Rural View,4740.0,,,Develop a check in app for doctors and patients,Rural View,4740.0,,3/12/2015,Mackay (R),Mackay-Whitsunday,Whitsunday,50000.0
789,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,Evolving Machine Intelligence Pty Ltd,Indooroopilly,4068.0,,,Use a new machine-intelligent technology to build and demonstrate a aviation modelling tool.,Indooroopilly,4068.0,,3/12/2015,Brisbane (C),Brisbane and Redlands,Maiwar,48527.0
790,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,Hear and Say Centre for Deaf Children Limited,Ashgrove,4060.0,,,Create a next-generation prosthetic ear for Children,Ashgrove,4060.0,,3/12/2015,Brisbane (C),Brisbane and Redlands,Cooper,41430.0
791,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,GSL A Good Start to Life Pty Ltd,Parramatta Park,4870.0,,,Develop online tool for young people with mental health disorders,Parramatta Park,4870.0,,3/12/2015,Cairns (R),Far North Queensland,Cairns,8092.0
792,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,Mandalay Technologies Pty Ltd,South Brisbane,4101.0,,,Develop a Cloud platform that measures the performance of waste management systems,South Brisbane,4101.0,,3/12/2015,Brisbane (C),Brisbane and Redlands,South Brisbane,1415.0
793,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,Nitestar Pty Ltd ATF Bob Dean Trust,Bundall,4217.0,,,Expanding Drone technology,Bundall,4217.0,,3/12/2015,Gold Coast (C),Gold Coast,Southport,49332.0
794,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,Redeye Apps Pty Ltd,Brisbane City,4000.0,,,Design and develop the second version of the company's engineering Drawing and data management app,Brisbane City,4000.0,,3/12/2015,Brisbane (C),Brisbane and Redlands,McConnel,37333.0
795,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,Statcom Solutions Pty Ltd,Herston,4006.0,,,Expansion of the d series Starsine Statcom,Herston,4006.0,,3/12/2015,Brisbane (C),Brisbane and Redlands,McConnel,50000.0
796,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,Music Broadcasting Society of Queensland Limited,Coorparoo,4151.0,,,Silver Memories,Coorparoo,4151.0,,3/12/2015,Brisbane (C),Brisbane and Redlands,Greenslopes,24960.0
797,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,Taylor Willis Pty Ltd,Southport,4215.0,,,Small block design,Southport,4215.0,,3/12/2015,Gold Coast (C),Gold Coast,Southport,40619.0
798,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,Natura Pacific Pty Ltd,Burleigh Heads,4220.0,,,Development of an educational app to reduce spread of weeds,Burleigh Heads,4220.0,,3/12/2015,Gold Coast (C),Gold Coast,Burleigh,22550.0
799,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 4,ImmersaView Pty Ltd,Banyo,4014.0,,,"GPU Optimization of the encoding/decoding video, audio and data",Banyo,4014.0,,5/09/2017,Brisbane (C),Brisbane and Redlands,Nudgee,42668.0
800,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 4,CartonCloud Pty Ltd,Burleigh Heads,4220.0,,,High Efficiency Route Optimisation Algorithm,Burleigh Heads,4220.0,,5/09/2017,Gold Coast (C),Gold Coast,Burleigh,38098.0
801,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 3,Gilmour Space Technologies Pty Ltd,Pimpama,4209.0,,,Hybrid Fuel Catalyst Pack Development,Pimpama,4209.0,,26/06/2017,Gold Coast (C),Gold Coast,Coomera,46270.0
802,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2017-18 Round 1,Dec-Mech Pty Ltd,Aitkenvale,4814.0,,,An Asset Integrity and Maintenance Ontology for Industry,Aitkenvale,4814.0,,23/10/2017,Townsville (C),Townsville,Mundingburra,35430.0
803,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2017-18 Round 1,Calxa Pty Ltd,Townsville City,4810.0,,,Applying Artificial Intelligence to Business Management Advice,Townsville City,4810.0,,23/10/2017,Townsville (C),Townsville,Townsville,50000.0
804,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 4,The Water and Carbon Group Pty Ltd,Brisbane City,4000.0,,,Landfill Leachate Treatment Pilot Plant,Brisbane City,4000.0,,5/09/2017,Brisbane (C),Brisbane and Redlands,McConnel,50000.0
805,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,Bioproton Pty Ltd,Acacia Ridge,4110.0,,,Removal of dags,Acacia Ridge,4110.0,,3/12/2015,Brisbane (C),Brisbane and Redlands,Stretton,47960.0
806,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,Ellume Pty Ltd,East Brisbane,4169.0,,,Help diagnose respiratory syncytial virsum,East Brisbane,4169.0,,3/12/2015,Brisbane (C),Brisbane and Redlands,South Brisbane,50000.0
807,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,EPI Capital Pty Ltd,Fortitude Valley,4006.0,,,Employee management system,Fortitude Valley,4006.0,,3/12/2015,Brisbane (C),Brisbane and Redlands,McConnel,39749.0
808,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 3,Becker Helicopter Services Pty Ltd,Marcoola,4564.0,,,Virtual Reality Aircrew Training System,Marcoola,4564.0,,26/06/2017,Sunshine Coast (R),Sunshine Coast,Maroochydore,50000.0
809,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 3,400 Holdings Pty Ltd,New Farm,4005.0,,,"Marketing Campaign - The Briefcase, Online & Rural Qld",New Farm,4005.0,,26/06/2017,Brisbane (C),Brisbane and Redlands,McConnel,30000.0
810,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 1,Airtime Holdings Pty Ltd ATF S&G Witheridge Trust,Fortitude Valley,4006.0,,,Develop online calculators,Fortitude Valley,4006.0,,3/12/2015,Brisbane (C),Brisbane and Redlands,McConnel,37000.0
811,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 4,Queensland Ballet Company,West End,4101.0,,,Ballet Moves,West End,4101.0,,7/11/2016,Brisbane (C),Brisbane and Redlands,South Brisbane,37963.0
812,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 4,Foresters Community Finance Ltd,Bowen Hills,4006.0,,,Development of online loans processing system,Bowen Hills,4006.0,,7/11/2016,Brisbane (C),Brisbane and Redlands,McConnel,25333.0
813,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 4,SeaLink Queensland Pty Ltd,Townsville,4810.0,,,Development of a North Queensland Tourism Knowledge Cluster,Townsville City,4810.0,,7/11/2016,Townsville (C),Townsville,Townsville,24000.0
814,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 1,Community Information Support Services Ltd,Fortitude Valley,4006.0,,,Service Linker Plus,Fortitude Valley,4006.0,,21/11/2016,Brisbane (C),Brisbane and Redlands,McConnel,49811.0
815,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 4,Synapse Australia Limited,West End,4101.0,,,Development of online screening tool for neuro-cognitive assessment of indigenous people,West End,4101.0,,7/11/2016,Brisbane (C),Brisbane and Redlands,South Brisbane,39316.0
816,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 4,Dingo Software Pty Ltd,Wilston,4051.0,,,Automation of Condition Monitoring Database,Wilston,4051.0,,7/11/2016,Brisbane (C),Brisbane and Redlands,Stafford,50000.0
817,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 4,Bivacor Pty Ltd,Wilston,4051.0,,,Artifical Heart Device,Wilston,4051.0,,7/11/2016,Brisbane (C),Brisbane and Redlands,Stafford,50000.0
818,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 4,All Energy Pty Ltd,Spring Hill,4000.0,,,Develop an app to help businesses reduce their thermal and electrical power demand,Spring Hill,4000.0,,7/11/2016,Brisbane (C),Brisbane and Redlands,McConnel,40667.0
819,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 4,Campbell Scientific Australia Pty Ltd,Garbutt,4814.0,,,Development of low cost sensors,Garbutt,4814.0,,7/11/2016,Townsville (C),Townsville,Townsville,46711.0
820,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 4,Community Lifestyle Support Ltd,Kalkie,4670.0,,,Microelectromechanical systems technology,Kalkie,4670.0,,7/11/2016,Bundaberg (R),Wide Bay,Bundaberg,35509.0
821,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 4,Central Highlands Science Centre Inc,Emerald,4720.0,,,Stem Education,Emerald,4720.0,,7/11/2016,Central Highlands (R),Central Queensland,Gregory,47539.0
822,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 2,Mindstar Enterprises Pty Ltd,Marcoola,4564.0,,,Mindstar Enterprises Pty Ltd,Marcoola,4564.0,,4/05/2017,Sunshine Coast (R),Sunshine Coast,Maroochydore,48563.0
823,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 2,Bioproton Pty Ltd,Acacia Ridge,4110.0,,,Bioproton Pty Ltd,Acacia Ridge,4110.0,,4/05/2017,Brisbane (C),Brisbane and Redlands,Stretton,47000.0
824,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 2,QLD OZTAG Group INC,Caloundra,4551.0,,,Queensland Oztag,Caloundra,4551.0,,4/05/2017,Sunshine Coast (R),Sunshine Coast,Kawana,18816.0
825,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 2,Ultra Coral Australia Pty Ltd,Paget,4740.0,,,Ultra Coral Australia Pty. Ltd.,Paget,4740.0,,4/05/2017,Mackay (R),Mackay-Whitsunday,Mackay,50000.0
826,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 2,Synengco Pty Ltd,Highgate Hill,4101.0,,,Synengco Pty. Ltd.,Highgate Hill,4101.0,,4/05/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,42186.0
827,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 2,Biarri Optimisation Pty Ltd,Brisbane City,4000.0,,,Biarri Optimisation,Brisbane City,4000.0,,4/05/2017,Brisbane (C),Brisbane and Redlands,McConnel,40077.0
828,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 1,Exploration Drill Rigs Pty Ltd,Redbank,4301.0,,,Power Drill,Redbank,4301.0,,21/11/2016,Ipswich (C),Ipswich,Bundamba,44000.0
829,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 1,Digital Syndicate Studios Pty Ltd,Varsity Lakes,4227.0,,,Development of simulation framework,Varsity Lakes,4227.0,,21/11/2016,Gold Coast (C),Gold Coast,Mermaid Beach,50000.0
830,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 1,GIS People Pty Ltd,Fortitude Valley,4006.0,,,Facial Recognition,Fortitude Valley,4006.0,,21/11/2016,Brisbane (C),Brisbane and Redlands,McConnel,33333.0
831,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 2,Agapeflows Pty Ltd,Enoggera,4051.0,,,Agapeflows Pty Ltd,Enoggera,4051.0,,4/05/2017,Brisbane (C),Brisbane and Redlands,Everton,50000.0
832,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2016-17 Round 1,Psychological Solutions (Qld) Pty Ltd,Belmont,4153.0,,,Pilot Program for Neurofeedback Technologies,Belmont,4153.0,,21/11/2016,Brisbane (C),Brisbane and Redlands,Chatsworth,26666.0
833,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 3,Webstersgroup Pty Ltd,Virginia,4017.0,,,Expand finance offering for clean energy projects,Fortitude Valley,4006.0,,18/07/2016,Brisbane (C),Brisbane and Redlands,McConnel,47793.0
834,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 2,A G Jekyll and K A Jekyll,Labrador,4215.0,,,Developing new tourism products and experiences for the changing visitor markets.,Labrador,4215.0,,17/05/2016,Gold Coast (C),Gold Coast,Bonney,20600.0
835,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 2,2 Australia Pty Ltd,Wooloowin,4030.0,,,Creation of a voucher site (Giftzar) to change the way gifts are received by offering customers flexibility and an interactive experience.,Wooloowin,4030.0,,17/05/2016,Brisbane (C),Brisbane and Redlands,Clayfield,44000.0
836,Knowledge Transfer Partnerships,AQ Knowledge Transfer Partnerships Program 2015-16 Round 2,Axiom Project Services Pty Ltd,Brisbane City,4000.0,,,Undertake research which aims to clarify what is considered best practice in the planning and preparation of pre-feasibility and feasibility studies in minerals development,Brisbane City,4000.0,,17/05/2016,Brisbane (C),Brisbane and Redlands,McConnel,41515.0
